,full_aspect,aspect,opinion,opinion_tags,aspect_tags,valence1,valence2,valence3,valence4,arousal1,arousal2,arousal3,arousal4,dominance1,dominance2,dominance3,dominance4
5033,satisfactory reason,reason,satisfactory,"[('good', 'JJ')]","[('reason', 'NN')]",6.11,6.146,6.719,6.976,3.991,4.141,3.604,3.748,5.805,5.756,6.157,6.187
5034,solid reason,reason,solid,"[('good', 'JJ')]","[('reason', 'NN')]",6.11,6.146,6.719,6.976,3.991,4.141,3.604,3.748,5.805,5.756,6.157,6.187
5035,superb reason,reason,superb,"[('good', 'JJ')]","[('reason', 'NN')]",6.11,6.146,6.719,6.976,3.991,4.141,3.604,3.748,5.805,5.756,6.157,6.187
5036,well-behaved reason,reason,well-behaved,"[('good', 'JJ')]","[('reason', 'NN')]",6.11,6.146,6.719,6.976,3.991,4.141,3.604,3.748,5.805,5.756,6.157,6.187
5037,apparent reason,reason,apparent,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5038,axiomatic reason,reason,axiomatic,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5039,demonstrable reason,reason,demonstrable,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5040,frank reason,reason,frank,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5041,open-and-shut reason,reason,open-and-shut,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5042,self-explanatory reason,reason,self-explanatory,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5043,transparent reason,reason,transparent,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5044,writ_large reason,reason,writ_large,"[('obvious', 'JJ')]","[('reason', 'NN')]",5.824,5.782,6.236,6.22,4.116,4.242,3.598,3.728,5.9,5.914,6.442,6.604
5045,lonesome reason,reason,lonesome,"[('only', 'JJ')]","[('reason', 'NN')]",5.587,5.501,5.552,5.193,4.351,4.497,4.029,4.379,5.563,5.493,5.726,5.531
5046,sole reason,reason,sole,"[('only', 'JJ')]","[('reason', 'NN')]",5.587,5.501,5.552,5.193,4.351,4.497,4.029,4.379,5.563,5.493,5.726,5.531
5047,solitary reason,reason,solitary,"[('only', 'JJ')]","[('reason', 'NN')]",5.587,5.501,5.552,5.193,4.351,4.497,4.029,4.379,5.563,5.493,5.726,5.531
5048,single reason,reason,single,"[('only', 'JJ')]","[('reason', 'NN')]",5.587,5.501,5.552,5.193,4.351,4.497,4.029,4.379,5.563,5.493,5.726,5.531
5049,another reason,reason,another,"[('other', 'JJ')]","[('reason', 'NN')]",5.487,5.314,5.665,5.362,4.017,4.164,3.455,3.515,5.612,5.503,6.004,5.95
5050,different reason,reason,different,"[('other', 'JJ')]","[('reason', 'NN')]",5.487,5.314,5.665,5.362,4.017,4.164,3.455,3.515,5.612,5.503,6.004,5.95
5051,new reason,reason,new,"[('other', 'JJ')]","[('reason', 'NN')]",5.487,5.314,5.665,5.362,4.017,4.164,3.455,3.515,5.612,5.503,6.004,5.95
5052,opposite reason,reason,opposite,"[('other', 'JJ')]","[('reason', 'NN')]",5.487,5.314,5.665,5.362,4.017,4.164,3.455,3.515,5.612,5.503,6.004,5.95
5053,otherwise reason,reason,otherwise,"[('other', 'JJ')]","[('reason', 'NN')]",5.487,5.314,5.665,5.362,4.017,4.164,3.455,3.515,5.612,5.503,6.004,5.95
5054,really bang-up reason,reason,really bang-up,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5055,really good_enough reason,reason,really good_enough,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5056,really goodish reason,reason,really goodish,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5057,really hot reason,reason,really hot,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5058,really redeeming reason,reason,really redeeming,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5059,really satisfactory reason,reason,really satisfactory,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5060,really solid reason,reason,really solid,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5061,really superb reason,reason,really superb,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5062,really well-behaved reason,reason,really well-behaved,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5063,real bang-up reason,reason,real bang-up,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5064,real good_enough reason,reason,real good_enough,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5065,real goodish reason,reason,real goodish,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5066,real hot reason,reason,real hot,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5067,real redeeming reason,reason,real redeeming,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5068,real satisfactory reason,reason,real satisfactory,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5069,real solid reason,reason,real solid,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5070,real superb reason,reason,real superb,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5071,real well-behaved reason,reason,real well-behaved,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5072,rattling bang-up reason,reason,rattling bang-up,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5073,rattling good_enough reason,reason,rattling good_enough,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5074,rattling goodish reason,reason,rattling goodish,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5075,rattling hot reason,reason,rattling hot,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5076,rattling redeeming reason,reason,rattling redeeming,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5077,rattling satisfactory reason,reason,rattling satisfactory,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5078,rattling solid reason,reason,rattling solid,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5079,rattling superb reason,reason,rattling superb,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5080,rattling well-behaved reason,reason,rattling well-behaved,"[('really', 'RB'), ('good', 'JJ')]","[('reason', 'NN')]",5.997,5.979,7.022,7.403,4.196,4.318,3.402,3.436,5.673,5.613,6.361,6.484
5081,exceptional reason,reason,exceptional,"[('special', 'JJ')]","[('reason', 'NN')]",6.01,5.99,6.549,6.69,3.866,3.98,3.441,3.5,5.769,5.713,6.201,6.25
5082,particular reason,reason,particular,"[('special', 'JJ')]","[('reason', 'NN')]",6.01,5.99,6.549,6.69,3.866,3.98,3.441,3.5,5.769,5.713,6.201,6.25
5083,uncommon reason,reason,uncommon,"[('special', 'JJ')]","[('reason', 'NN')]",6.01,5.99,6.549,6.69,3.866,3.98,3.441,3.5,5.769,5.713,6.201,6.25
5084,binding reason,reason,binding,"[('valid', 'JJ')]","[('reason', 'NN')]",5.886,5.784,6.264,6.266,3.718,3.824,3.518,3.61,5.968,5.948,6.286,6.37
5085,legal reason,reason,legal,"[('valid', 'JJ')]","[('reason', 'NN')]",5.886,5.784,6.264,6.266,3.718,3.824,3.518,3.61,5.968,5.948,6.286,6.37
5086,legitimate reason,reason,legitimate,"[('valid', 'JJ')]","[('reason', 'NN')]",5.886,5.784,6.264,6.266,3.718,3.824,3.518,3.61,5.968,5.948,6.286,6.37
5087,reasoned reason,reason,reasoned,"[('valid', 'JJ')]","[('reason', 'NN')]",5.886,5.784,6.264,6.266,3.718,3.824,3.518,3.61,5.968,5.948,6.286,6.37
5088,validated reason,reason,validated,"[('valid', 'JJ')]","[('reason', 'NN')]",5.886,5.784,6.264,6.266,3.718,3.824,3.518,3.61,5.968,5.948,6.286,6.37
5089,bang-up reference,reference,bang-up,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5090,good_enough reference,reference,good_enough,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5091,goodish reference,reference,goodish,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5092,hot reference,reference,hot,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5093,redeeming reference,reference,redeeming,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5094,satisfactory reference,reference,satisfactory,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5095,solid reference,reference,solid,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5096,superb reference,reference,superb,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5097,well-behaved reference,reference,well-behaved,"[('good', 'JJ')]","[('reference', 'NN')]",6.168,6.636,6.634,7.362,3.96,4.09,3.77,3.972,5.712,5.94,5.974,6.378
5098,bang-up regard,regard,bang-up,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5099,good_enough regard,regard,good_enough,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5100,goodish regard,regard,goodish,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5101,hot regard,regard,hot,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5102,redeeming regard,regard,redeeming,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5103,satisfactory regard,regard,satisfactory,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5104,solid regard,regard,solid,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5105,superb regard,regard,superb,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5106,well-behaved regard,regard,well-behaved,"[('good', 'JJ')]","[('regard', 'NN')]",6.476,7.058,6.736,7.493,3.856,4.028,3.634,3.781,6.079,6.021,6.271,6.224
5107,benign regard,regard,benign,"[('kind', 'JJ')]","[('regard', 'NN')]",6.624,7.511,6.753,7.713,3.437,3.374,3.393,3.351,6.844,7.356,6.971,7.525
5108,benignant regard,regard,benignant,"[('kind', 'JJ')]","[('regard', 'NN')]",6.624,7.511,6.753,7.713,3.437,3.374,3.393,3.351,6.844,7.356,6.971,7.525
5109,charitable regard,regard,charitable,"[('kind', 'JJ')]","[('regard', 'NN')]",6.624,7.511,6.753,7.713,3.437,3.374,3.393,3.351,6.844,7.356,6.971,7.525
5110,gentle regard,regard,gentle,"[('kind', 'JJ')]","[('regard', 'NN')]",6.624,7.511,6.753,7.713,3.437,3.374,3.393,3.351,6.844,7.356,6.971,7.525
5111,kindhearted regard,regard,kindhearted,"[('kind', 'JJ')]","[('regard', 'NN')]",6.624,7.511,6.753,7.713,3.437,3.374,3.393,3.351,6.844,7.356,6.971,7.525
5112,possible regression,regression,possible,"[('potential', 'JJ')]","[('regression', 'NN')]",5.66,6.246,5.45,6.434,3.808,3.81,3.75,3.755,5.851,6.255,5.688,6.33
5113,latent regression,regression,latent,"[('potential', 'JJ')]","[('regression', 'NN')]",5.66,6.246,5.45,6.434,3.808,3.81,3.75,3.755,5.851,6.255,5.688,6.33
5114,actual release,release,actual,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5115,afoot release,release,afoot,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5116,circulating release,release,circulating,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5117,contemporary release,release,contemporary,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5118,incumbent release,release,incumbent,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5119,live release,release,live,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5120,occurrent release,release,occurrent,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5121,on-line release,release,on-line,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5122,ongoing release,release,ongoing,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5123,topical release,release,topical,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5124,up-to-date release,release,up-to-date,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5125,up-to-the-minute release,release,up-to-the-minute,"[('current', 'JJ')]","[('release', 'NN')]",5.917,5.809,6.536,6.48,4.141,4.076,3.724,3.307,5.771,5.683,6.313,6.283
5126,senior release,release,senior,"[('last', 'JJ')]","[('release', 'NN')]",5.928,5.782,6.136,5.884,4.458,4.438,4.242,4.09,5.748,5.624,6.046,5.886
5127,sunset release,release,sunset,"[('last', 'JJ')]","[('release', 'NN')]",5.928,5.782,6.136,5.884,4.458,4.438,4.242,4.09,5.748,5.624,6.046,5.886
5128,ultimate release,release,ultimate,"[('last', 'JJ')]","[('release', 'NN')]",5.928,5.782,6.136,5.884,4.458,4.438,4.242,4.09,5.748,5.624,6.046,5.886
5129,Modern release,release,Modern,"[('late', 'JJ')]","[('release', 'NN')]",5.381,5,5.384,4.753,4.553,4.603,4.669,4.73,5.471,5.203,5.526,5.103
5130,New release,release,New,"[('late', 'JJ')]","[('release', 'NN')]",5.381,5,5.384,4.753,4.553,4.603,4.669,4.73,5.471,5.203,5.526,5.103
5131,unweathered release,release,unweathered,"[('new', 'JJ')]","[('release', 'NN')]",6.113,6.041,6.576,6.542,4.547,4.554,4.521,4.504,5.66,5.532,5.942,5.723
5132,firm release,release,firm,"[('stable', 'JJ')]","[('release', 'NN')]",5.523,5.33,5.902,5.532,4.16,4.092,3.802,3.425,5.615,5.488,6.18,6.087
5133,lasting release,release,lasting,"[('stable', 'JJ')]","[('release', 'NN')]",5.523,5.33,5.902,5.532,4.16,4.092,3.802,3.425,5.615,5.488,6.18,6.087
5134,stabile release,release,stabile,"[('stable', 'JJ')]","[('release', 'NN')]",5.523,5.33,5.902,5.532,4.16,4.092,3.802,3.425,5.615,5.488,6.18,6.087
5135,stabilized release,release,stabilized,"[('stable', 'JJ')]","[('release', 'NN')]",5.523,5.33,5.902,5.532,4.16,4.092,3.802,3.425,5.615,5.488,6.18,6.087
5136,coming release,release,coming,"[('upcoming', 'JJ')]","[('release', 'NN')]",6.017,5.933,6.645,6.647,4.138,4.068,4.033,3.772,5.772,5.615,6.07,5.872
5137,forthcoming release,release,forthcoming,"[('upcoming', 'JJ')]","[('release', 'NN')]",6.017,5.933,6.645,6.647,4.138,4.068,4.033,3.772,5.772,5.615,6.07,5.872
5138,future release,release,future,"[('upcoming', 'JJ')]","[('release', 'NN')]",6.017,5.933,6.645,6.647,4.138,4.068,4.033,3.772,5.772,5.615,6.07,5.872
5139,straightaway reply,reply,straightaway,"[('prompt', 'JJ')]","[('reply', 'NN')]",6.24,6.33,6.24,6.33,3.17,2.9,3.17,2.9,6.36,5.92,6.36,5.92
5140,fast reply,reply,fast,"[('prompt', 'JJ')]","[('reply', 'NN')]",6.24,6.33,6.24,6.33,3.17,2.9,3.17,2.9,6.36,5.92,6.36,5.92
5141,more_than report,report,more_than,"[('more', 'JJ')]","[('report', 'NN')]",5.161,5.277,5.126,5.305,4.274,4.484,4.075,4.355,5.175,5.26,5.152,5.261
5142,first reporter,reporter,first,"[('original', 'JJ')]","[('reporter', 'NN')]",5.819,6.523,5.833,6.594,3.945,4.313,3.898,4.318,5.924,6.377,5.969,6.458
5143,underived request,request,underived,"[('original', 'JJ')]","[('request', 'NN')]",5.855,5.82,6.503,6.833,4.38,4.407,4.242,4.138,5.86,5.89,6.21,6.478
5144,attendant request,request,attendant,"[('subsequent', 'JJ')]","[('request', 'NN')]",5.579,5.527,5.81,5.786,4.428,4.423,3.904,3.629,5.402,5.353,5.348,5.188
5145,later request,request,later,"[('subsequent', 'JJ')]","[('request', 'NN')]",5.579,5.527,5.81,5.786,4.428,4.423,3.904,3.629,5.402,5.353,5.348,5.188
5146,existent result,result,existent,"[('actual', 'JJ')]","[('result', 'NN')]",5.693,5.632,6.107,6.106,4.126,4.103,3.492,3.163,5.544,5.445,5.886,5.762
5147,effective result,result,effective,"[('actual', 'JJ')]","[('result', 'NN')]",5.693,5.632,6.107,6.106,4.126,4.103,3.492,3.163,5.544,5.445,5.886,5.762
5148,always existent result,result,always existent,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5149,always effective result,result,always effective,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5150,forever existent result,result,forever existent,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5151,forever effective result,result,forever effective,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5152,perpetually existent result,result,perpetually existent,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5153,perpetually effective result,result,perpetually effective,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5154,incessantly existent result,result,incessantly existent,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5155,incessantly effective result,result,incessantly effective,"[('always', 'RB'), ('actual', 'JJ')]","[('result', 'NN')]",5.523,5.41,6.077,6.059,4.11,4.109,3.567,3.283,5.473,5.341,5.773,5.593
5156,dissimilar result,result,dissimilar,"[('different', 'JJ')]","[('result', 'NN')]",5.616,5.552,5.699,5.492,4.167,4.15,3.77,3.587,5.761,5.723,6.34,6.446
5157,anticipated result,result,anticipated,"[('expected', 'JJ')]","[('result', 'NN')]",5.56,5.456,5.866,5.742,4.318,4.348,4.099,4.084,5.417,5.302,5.712,5.502
5158,due result,result,due,"[('expected', 'JJ')]","[('result', 'NN')]",5.56,5.456,5.866,5.742,4.318,4.348,4.099,4.084,5.417,5.302,5.712,5.502
5159,expectable result,result,expectable,"[('expected', 'JJ')]","[('result', 'NN')]",5.56,5.456,5.866,5.742,4.318,4.348,4.099,4.084,5.417,5.302,5.712,5.502
5160,matter-of-course result,result,matter-of-course,"[('expected', 'JJ')]","[('result', 'NN')]",5.56,5.456,5.866,5.742,4.318,4.348,4.099,4.084,5.417,5.302,5.712,5.502
5161,bang-up result,result,bang-up,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5162,good_enough result,result,good_enough,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5163,goodish result,result,goodish,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5164,hot result,result,hot,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5165,redeeming result,result,redeeming,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5166,satisfactory result,result,satisfactory,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5167,solid result,result,solid,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5168,superb result,result,superb,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5169,well-behaved result,result,well-behaved,"[('good', 'JJ')]","[('result', 'NN')]",6.17,6.223,6.904,7.301,4.119,4.106,3.798,3.632,5.746,5.678,6.139,6.144
5170,assonant result,result,assonant,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5171,comparable result,result,comparable,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5172,cookie-cutter result,result,cookie-cutter,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5173,duplicate result,result,duplicate,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5174,homophonic result,result,homophonic,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5175,identical result,result,identical,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5176,one result,result,one,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5177,synoptic result,result,synoptic,"[('same', 'JJ')]","[('result', 'NN')]",5.736,5.668,5.895,5.778,4.254,4.282,4.123,4.124,5.628,5.53,5.81,5.643
5178,bang-up review,review,bang-up,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
5179,good_enough review,review,good_enough,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
5180,goodish review,review,goodish,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
5181,hot review,review,hot,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
5182,redeeming review,review,redeeming,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
5183,satisfactory review,review,satisfactory,"[('good', 'JJ')]","[('review', 'NN')]",5.946,6.32,6.456,7.28,3.938,3.946,3.516,3.382,5.708,5.686,6.288,6.43
